title,link,category,id,duration,Tags
hair braided17,https://www.douyin.com/video/7210351650945387814,hair_braided,7210351650945387814,56,"HairTutorial, short hair, wavy hair"
hair braided18,https://www.douyin.com/video/7388480917578255631,hair_braided,7388480917578255631,54,"HairTransformation, short hair"
hair braided19,https://www.douyin.com/video/7393346093448285450,hair_braided,7393346093448285450,11,HairInspiration
hair braided20,https://www.douyin.com/video/7379547890382867738,hair_braided,7379547890382867738,11,"HairInspiration, HairInspiration"
homemade drinks1,https://www.douyin.com/video/7408513996216749323,homemade_drinks,7408513996216749323,38,"pomegranate wine, fruit drink"
homemade drinks2,https://www.douyin.com/video/7242893573023075645,homemade_drinks,7242893573023075645,27,"milk tea, grape, fruit drink"
homemade drinks3,https://www.douyin.com/video/7053648336028486925,homemade_drinks,7053648336028486925,20,"health tea, blood nourishing, Red Dates and Ginger Tea"
homemade drinks4,https://www.douyin.com/video/7257776599116893492,homemade_drinks,7257776599116893492,49,"ice drink, fruit drink"
homemade drinks5,https://www.douyin.com/video/7067142632098614539,homemade_drinks,7067142632098614539,24,"health tea, blood nourishing"
homemade drinks6,https://www.douyin.com/video/7403227671213149475,homemade_drinks,7403227671213149475,38,"health tea, apple, blood nourishing"
homemade drinks7,https://www.douyin.com/video/7099702148144893221,homemade_drinks,7099702148144893221,44,"health tea, Red Dates and Ginger Tea"
homemade drinks8,https://www.douyin.com/video/7301236323912895759,homemade_drinks,7301236323912895759,41,"coffee, latte art"
homemade drinks9,https://www.douyin.com/video/7096052533776354597,homemade_drinks,7096052533776354597,35,"milk tea, bubble tea DIY"
homemade drinks10,https://www.douyin.com/video/7171405703574326561,homemade_drinks,7171405703574326561,31,"coffee, latte art"
homemade drinks11,https://www.douyin.com/video/7408483732228705546,homemade_drinks,7408483732228705546,47,"coffee, ice cream, persimmon"
homemade drinks12,https://www.douyin.com/video/7351740493836946707,homemade_drinks,7351740493836946707,60,"milk tea, DIY"
homemade drinks13,https://www.douyin.com/video/7143242861633342735,homemade_drinks,7143242861633342735,52,coffee
homemade drinks14,https://www.douyin.com/video/7116364459555212551,homemade_drinks,7116364459555212551,60,"Mung Bean Soup, ice drink"
